manufacturer_sku,manufacturer,type,subtype,description,model,price,created_at,updated_at
P-239-1-12,1-OFF SOFTWARE ONLY,Software,,"Sharegate Productivity subscription (1yr, 1 user)","Sharegate Productivity subscription (1yr, 1 user)",,2026-04-25 02:16:53,2026-04-25 02:16:53
414H-LONG-DC,3M,Consumable,Cable,3M Scotch-Mount Extreme Double-Sided Mounting Tape 414H-LONG-DC (1 in x 400 in),3M Scotch-Mount Extreme Double-Sided Mounting Tape 414H-LONG-DC (1 in x 400 in),$28.69,2026-04-25 02:16:53,2026-04-25 02:16:53
AG19.0,3M,Consumable,Accessory,3M AG19.0 Anti-Glare Filter (19 in standard monitor),3M AG19.0 Anti-Glare Filter (19 in standard monitor),$52.63,2026-04-25 02:16:53,2026-04-25 02:16:53
HCNMS002,3M,Consumable,Accessory,3M High Clarity Privacy Filter for Microsoft Surface Laptop (HCNMS002),3M High Clarity Privacy Filter for Microsoft Surface Laptop (HCNMS002),,2026-04-25 02:16:53,2026-04-25 02:16:53
PF19.0W,3M,Consumable,Accessory,3M PF19.0W Privacy Filter (19 in widescreen 16:10),3M PF19.0W Privacy Filter (19 in widescreen 16:10),$83.99,2026-04-25 02:16:53,2026-04-25 02:16:53
PF190C4B,3M,Consumable,Monitor Accessories,3M PF190C4B Privacy Filter (19 in 5:4),3M PF190C4B Privacy Filter (19 in 5:4),$88.05,2026-04-25 02:16:53,2026-04-25 02:16:53
PF190W1B,3M,Consumable,Accessory,3M PF190W1B Privacy Filter (19 in 16:10),3M PF190W1B Privacy Filter (19 in 16:10),$79.99,2026-04-25 02:16:53,2026-04-25 02:16:53
PF200W9B,3M,Consumable,Accessory,3M PF200W9B Privacy Filter (20 in 16:9),3M PF200W9B Privacy Filter (20 in 16:9),$18.90,2026-04-25 02:16:53,2026-04-25 02:16:53
PF20.0W9,3M,Consumable,Accessory,3M PF20.0W9 Privacy Filter (20 in widescreen 16:9),3M PF20.0W9 Privacy Filter (20 in widescreen 16:9),$50.00,2026-04-25 02:16:53,2026-04-25 02:16:53
PF215W9B,3M,Consumable,Display,3M PF215W9B Privacy Filter (21.5 in 16:9),3M PF215W9B Privacy Filter (21.5 in 16:9),$68.46,2026-04-25 02:16:53,2026-04-25 02:16:53
PF238W9B,3M,Consumable,Accessory,3M PF238W9B Privacy Filter (23.8 in 16:9),3M PF238W9B Privacy Filter (23.8 in 16:9),$74.72,2026-04-25 02:16:53,2026-04-25 02:16:53
PF220W1B,3M,Consumable,Accessory,3M PF220W1B Privacy Filter (22 in 16:10),3M PF220W1B Privacy Filter (22 in 16:10),$89.78,2026-04-25 02:16:53,2026-04-25 02:16:53
PF24.0W,3M,Consumable,Accessory,3M PF24.0W Privacy Filter (24 in widescreen),3M PF24.0W Privacy Filter (24 in widescreen),$99.20,2026-04-25 02:16:53,2026-04-25 02:16:53
PF270W9B,3M,Consumable,Monitor Accessories,3M PF270W9B Privacy Filter (27 in 16:9),3M PF270W9B Privacy Filter (27 in 16:9),$111.99,2026-04-25 02:16:53,2026-04-25 02:16:53
PF240W9B,3M,Consumable,Accessory,3M PF240W9B Privacy Filter (24 in 16:9),3M PF240W9B Privacy Filter (24 in 16:9),$114.80,2026-04-25 02:16:53,2026-04-25 02:16:53
SJ3551,3M,Consumable,Accessory,"3M Dual Lock Reclosable Fastener SJ3551 (Type 400, Black)","3M Dual Lock Reclosable Fastener SJ3551 (Type 400, Black)",,2026-04-25 02:16:53,2026-04-25 02:16:53
4XHDMIMM50FT,4XEM,Consumable,Cable,4XEM 50ft High Speed HDMI M/M Cable,4XEM 50ft High Speed HDMI M/M Cable,$28.69,2026-04-25 02:16:53,2026-04-25 02:16:53
4XUSBCDISPADAPT,4XEM,Consumable,Cable,4XEM USB-C to DisplayPort Female Adapter Cable,4XEM USB-C to DisplayPort Female Adapter Cable,,2026-04-25 02:16:53,2026-04-25 02:16:53
PS.VBGP3.003,Acer,Computer,Desktop,Acer Veriton N281G Nettop (Atom D425),Acer Veriton N281G Nettop (Atom D425),,2026-04-25 02:16:53,2026-04-25 02:16:53
NX.K06AA.001,Acer,Computer,Laptop,"Acer Chromebook Enterprise 314 C934 (C934-P49J, 14 in FHD, N6000, 8GB/128GB)","Acer Chromebook Enterprise 314 C934 (C934-P49J, 14 in FHD, N6000, 8GB/128GB)",$473.00,2026-04-25 02:16:53,2026-04-25 02:16:53
UM.CB2AA.004,Acer,PeripheralDevice,Monitor,Acer CB342CU semiphuzx (34 in UWQHD IPS 75Hz),Acer CB342CU semiphuzx (34 in UWQHD IPS 75Hz),$385.00,2026-04-25 02:16:53,2026-04-25 02:16:53
UM.CV6AA.B02,Acer,Consumable,Display,Acer V196L Bb (19 in SXGA LED 5:4),Acer V196L Bb (19 in SXGA LED 5:4),$127.99,2026-04-25 02:16:53,2026-04-25 02:16:53
UM.FV6AA.003,Acer,Consumable,Display,Acer V246HL bd (24 in FHD LED 16:9),Acer V246HL bd (24 in FHD LED 16:9),$113.60,2026-04-25 02:16:53,2026-04-25 02:16:53
UM.HB2AA.005,Acer,PeripheralDevice,Monitor,Acer CB272U smiiprx (27 in WQHD IPS FreeSync),Acer CB272U smiiprx (27 in WQHD IPS FreeSync),$199.99,2026-04-25 02:16:53,2026-04-25 02:16:53
UM.HB3AA.E02,Acer,PeripheralDevice,Monitor,Acer Vero CB273U Ebemipruzx (27 in WQHD LED),Acer Vero CB273U Ebemipruzx (27 in WQHD LED),$309.47,2026-04-25 02:16:53,2026-04-25 02:16:53
UM.HB7AA.A03,Acer,Consumable,Display,Acer Vero B277U TAAbmiiprzx (27 in WQHD IPS TAA),Acer Vero B277U TAAbmiiprzx (27 in WQHD IPS TAA),,2026-04-25 02:16:53,2026-04-25 02:16:53
UM.HT2AA.002,Acer,Consumable,Display,Acer T272HUL bmidpcz (27 in WQHD 10-point touch),Acer T272HUL bmidpcz (27 in WQHD 10-point touch),,2026-04-25 02:16:53,2026-04-25 02:16:53
UM.HB7AA.E03,Acer,PeripheralDevice,Monitor,Acer Vero B277U Ebmiiprzx (27 in WQHD IPS 100Hz),Acer Vero B277U Ebmiiprzx (27 in WQHD IPS 100Hz),$209.50,2026-04-25 02:16:53,2026-04-25 02:16:53
UM.HB2AA.304,Acer,PeripheralDevice,Monitor,Acer Vero CB272U E3bmiiprx (27 in QHD IPS HDR),Acer Vero CB272U E3bmiiprx (27 in QHD IPS HDR),$202.95,2026-04-25 02:16:53,2026-04-25 02:16:53
UM.HV1AA.001,Acer,Consumable,Display,Acer VA271 (27 in FHD VA 1080p),Acer VA271 (27 in FHD VA 1080p),$394.00,2026-04-25 02:16:53,2026-04-25 02:16:53
UM.HV6AA.C01,Acer,Consumable,Display,Acer V276HL Cbmd (27 in FHD LED),Acer V276HL Cbmd (27 in FHD LED),$158.75,2026-04-25 02:16:53,2026-04-25 02:16:53
