Vendor,SKU,Asset Type,Asset Sub Type,Description,Model
1-OFF SOFTWARE ONLY,P-239-1-12,,,ShareGate,
3M,414H-LONG-DC,Consumable,Cable,,
3M,AG19.0,Consumable,Accessory,"3M™ AG19.0 Anti-Glare Filter for Standard Desktop LCD Monitor 19""",
3M,HCNMS002,Consumable,Accessory,3M™ High Clarity Privacy Filter for Microsoft® Surface™ Laptop 13.5 in with COMPLY™ Attachment System,
3M,PF19.0W,Consumable,Accessory,3M PF19.0W - 19 inch Privacy Filter for Widescreen LCD Desktop Monitors,
3M,PF190C4B,Consumable,Monitor Accessories,"3M Privacy Filter for 19"" Monitors 5:4 - Display privacy filter - 19"" - black","3M Privacy Filter for 19"" Monitors 5:4"
3M,PF190W1B,Consumable,Accessory,3M Black Privacy Filter for 19 in Monitor,
3M,PF200W9B,Consumable,Accessory,3M™ Black Privacy Filter for 20 in Monitor,
3M,PF20.0W9,Consumable,Accessory,"3M Privacy Filter, For LCD Monitor, Fits, 20"", Black",
3M,PF215W9B,Consumable,Display,"3M™ Privacy Filter for 21.5"" Widescreen Monitor",
3M,PF238W9B,Consumable,Accessory,"3M Privacy Filter for 23.8"" Monitors 16:9 - Display privacy filter - 23.8"" wide - black","3M Privacy Filter for 23.8"" Monitors 16:9 - Display privacy filter - 23.8"" wide - black"
3M,PF220W1B,Consumable,Accessory,3M Black Privacy Filter for 22 in Monitor,
3M,PF24.0W,Consumable,Accessory,"3M Widescreen Privacy LCD Filter 24.0"" Widescreen Privacy LCD",
3M,PF270W9B,Consumable,Monitor Accessories,"3M Privacy Filter for 27"" Monitors 16:9 - Display privacy filter - 27"" wide - black","3M Privacy Filter for 27"" Monitors 16:9"
3M,PF240W9B,Consumable,Accessory,"3M Privacy Filter for 24"" Monitors 16:9 - Display privacy filter - 24"" wide - black","3M Privacy Filter for 24"" Monitors 16:9 - Display privacy filter - 24"" wide - black"
3M,SJ3551,Consumable,Accessory,3M Dual Lock - Self-adhesive reclosable fastener,3M Dual Lock - Self-adhesive reclosable fastener
4XEM,4XHDMIMM50FT,Consumable,Cable,,
4XEM,4XUSBCDISPADAPT,Consumable,Cable,4XEM USB / DisplayPort cable - 25.4 cm,4XEM USB / DisplayPort cable - 25.4 cm
Absolute,A8636456,,,DDS Professional,
Acer,PS.VBGP3.003,Computer,Desktop,Veriton N281G USFF Atom D425 1.8GHz/512KB/2GB/500GB/abgn/GNIC/W7P,Veriton N281G
Acer,NX.K06AA.001,Computer,Laptop,"Acer Chromebook Enterprise 314 C934 - 14"" - Intel Pentium Silver - N6000 -",314 C934
Acer,UM.CB2AA.004,PeripheralDevice,Monitor,"Acer CB342CU semiphuzx - CB2 Series - LED monitor - 34"" - 3440 x 1440 UWQHD @ 75 Hz - IPS - 400 cd/m? - 1000:1 - DisplayHDR 400 - 1 ms - HDMI, DisplayPort, USB-C - speakers - silver",CB342CU 
Acer,UM.CV6AA.B02,Consumable,Display,"Acer V196L - LED monitor - 19"" - 1280 x 1024 SXGA @ 75 Hz - TN - 250 cd/m² - 5 ms - VGA - black",V196L
Acer,UM.FV6AA.003,Consumable,Display,"Acer V246HL bd UM.FV6AA.003 24"" 1920 x 1080 60 Hz D-Sub, DVI LCD Monitor",V246HL
Acer,UM.HB2AA.005,PeripheralDevice,Monitor,"Acer CB272U smiiprx - LED monitor - 27"" - HDR",CB272U smiiprx
Acer,UM.HB3AA.E02,PeripheralDevice,Monitor,"Acer Vero CB3 CB273U E 27"" Class WQHD LED Monitor - 16 9 - Black",UM.HB3AA.E02
Acer,UM.HB7AA.A03,Consumable,Display,"Acer Vero B7 27"" 2560x1440 Display Monitor - TAA Compliant","Acer Vero B7 27"" 2560x1440 Display Monitor - TAA Compliant"
Acer,UM.HT2AA.002,Consumable,Display,"Acer T272HUL - LED monitor - 27""",T272HUL
Acer,UM.HB7AA.E03,PeripheralDevice,Monitor,"Acer Vero B277U Ebmiiprzx - B7 Series - LED monitor - 27"" -", UM.HB7AA.E03
Acer,UM.HB2AA.304,PeripheralDevice,Monitor,"Acer Vero CB272U E3bmiiprx - CB2 Series - LED monitor - QHD - 27"" - HDR",CB272U E3bmiiprx
Acer,UM.HV1AA.001,Consumable,Display,"Acer VA271 - LED monitor - Full HD (1080p) - 27""",VA271
Acer,UM.HV6AA.C01,Consumable,Display,"Acer V276HL - LED monitor - Full HD (1080p) - 27""",V276HL
Acer,UM.HV7AA.003,PeripheralDevice,Monitor,"Acer V277U - LED monitor - 27""",V277U
Acer,UM.HV7AA.E06,Consumable,Display,"Acer Vero V277U Ebmiipx - V7 Series - LED monitor - 27"" - HDR",UM.HV7AA.E06
Acer,UM.HV7AA.G05,Consumable,Display,"Acer Vero V277U G 27"" Class LCD Monitor - 16 9 - Black","Acer Vero V277U G 27"" Class LCD Monitor - 16 9 - Black"
Acer,UM.HV7AA.L01,Consumable,Display,"Acer Vero V277K Lbmiipx - V7 Series - LCD monitor - 4K - 27"" - HDR",V277K
Acer,UM.IV6AA.A02,Consumable,Display,"Acer V206HQL - LED monitor - 19.5""",V206HQL
Acer,UM.JB2AA.003,Consumable,Display,"Acer CB322QK 32"" Class 4K UHD LCD Monitor - 16 9",
Acer,UM.JX0AA.302,PeripheralDevice,Monitor,"Acer Nitro XZ320QK P3bmiiphx - XZ0 Series - LED monitor - curved - 32"" - HD",XZ320QK
Acer,UM.MD1AA.001,PeripheralDevice,Monitor,ACER DM431K 43IN 3840X2160 LED MON,DM431K
Acer,UM.SE1AA.P01,Consumable,Display,"Acer EI491CR 49"" 3840x1080 Curved LED Gaming Monitor",
Acer,UM.PB2AA.001,PeripheralDevice,Monitor,"Acer CB282K smiiprx - LED monitor - 4K - 28"" - HDR",CB282K smiiprx
Acer,UM.PB7AA.003,PeripheralDevice,Monitor,"Acer B287K bmiiprzx - LED monitor - 4K - 28"" - HDR",B287K bmiiprzx
Acer,UM.UV6AA.C01,Consumable,Display,"Acer UM.UV6AA.C01 V246HQL 23.6"" LED LCD Monitor - 16:9 - 5 msNEW 1920 x 1080 - 16.7 Million Colors - 300 Nit - 100,000,000:1 - Full HD - DVI - VGA - Black - EPEAT Gold, TCO Certified Displays 6.0",V246HQL
Acer,UM.WV6AA.B01,Consumable,Display,"Acer V226HQL - LED monitor - Full HD (1080p) - 21.5""",V226HQL
Acer,UM.UX6AA.B05,Consumable,Display,"ACER 24"" 1080 60HZ K2 SERIES (3707919)",K242HQL
Adata,AUV128-16G-RBE,Consumable,Flash Drive,"16GB DashDrive UV128 USB 3.0 Flash Drive, Black/Blue",DashDrive UV128
AdaCore,X86WIN,,,,
Adesso,AKB-110B,Consumable,Keyboard,Adesso EasyTouch 110 Wired Mini Keyboard,Adesso EasyTouch 110 Wired Mini Keyboard
Adesso,AKB-111UB,Consumable,Keyboard,,
Adesso,B087B-003J,Consumable,Adapter,UltraAV Mini DisplayPort to DVI-D Adapter,UltraAV Mini DisplayPort to DVI-D Adapter
Adesso,AKB-222UB,Consumable,Keyboard,Adesso Antimicrobial Waterproof Flex Keyboard (Compact Size),Adesso Antimicrobial Waterproof Flex Keyboard (Compact Size)
Adesso,CYBERTRACK H4,Consumable,Webcam,"Adesso CyberTrack H4 - Webcam - color - 2.1 MP - 1920 x 1080 - 1080p - audio - wired - USB 2.0 - MJPEG, YUV2",CyberTrack H4
